,,,,,,Wickets,Lost,,,,
Overs,Available,0,1,2,3,4,5,6,7,8,9
1,120,100,96.9,93,87.9,81.3,72.2,59.9,44.8,29.7,17.6
2,119,99.26666667,95.9,92.11666667,87.08333333,80.56666667,71.55,59.33333333,44.33333333,29.28333333,17.21666667
3,118,98.53333333,94.9,91.23333333,86.26666667,79.83333333,70.9,58.76666667,43.86666667,28.86666667,16.83333333
4,117,97.8,93.9,90.35,85.45,79.1,70.25,58.2,43.4,28.45,16.45
5,116,97.06666667,92.9,89.46666667,84.63333333,78.36666667,69.6,57.63333333,42.93333333,28.03333333,16.06666667
6,115,96.33333333,91.9,88.58333333,83.81666667,77.63333333,68.95,57.06666667,42.46666667,27.61666667,15.68333333
1,114,95.6,90.9,87.7,83,76.9,68.3,56.5,42,27.2,15.3
2,113,94.95,90.2,86.9,82.28333333,76.28333333,67.81666667,56.11666667,41.7,26.95,15.06666667
3,112,94.3,89.5,86.1,81.56666667,75.66666667,67.33333333,55.73333333,41.4,26.7,14.83333333
4,111,93.65,88.8,85.3,80.85,75.05,66.85,55.35,41.1,26.45,14.6
5,110,93,88.1,84.5,80.13333333,74.43333333,66.36666667,54.96666667,40.8,26.2,14.36666667
6,109,92.35,87.4,83.7,79.41666667,73.81666667,65.88333333,54.58333333,40.5,25.95,14.13333333
1,108,91.7,86.7,82.9,78.7,73.2,65.4,54.2,40.2,25.7,13.9
2,107,91.03333333,85.96666667,82.23333333,77.88333333,72.61666667,64.96666667,53.86666667,39.95,25.51666667,13.71666667
3,106,90.36666667,85.23333333,81.56666667,77.06666667,72.03333333,64.53333333,53.53333333,39.7,25.33333333,13.53333333
4,105,89.7,84.5,80.9,76.25,71.45,64.1,53.2,39.45,25.15,13.35
5,104,89.03333333,83.76666667,80.23333333,75.43333333,70.86666667,63.66666667,52.86666667,39.2,24.96666667,13.16666667
6,103,88.36666667,83.03333333,79.56666667,74.61666667,70.28333333,63.23333333,52.53333333,38.95,24.78333333,12.98333333
1,102,87.7,82.3,78.9,73.8,69.7,62.8,52.2,38.7,24.6,12.8
2,101,87,81.61666667,78.3,73.25,69.15,62.36666667,51.88333333,38.48333333,24.41666667,12.66666667
3,100,86.3,80.93333333,77.7,72.7,68.6,61.93333333,51.56666667,38.26666667,24.23333333,12.53333333
4,99,85.6,80.25,77.1,72.15,68.05,61.5,51.25,38.05,24.05,12.4
5,98,84.9,79.56666667,76.5,71.6,67.5,61.06666667,50.93333333,37.83333333,23.86666667,12.26666667
6,97,84.2,78.88333333,75.9,71.05,66.95,60.63333333,50.61666667,37.61666667,23.68333333,12.13333333
1,96,83.5,78.2,75.3,70.5,66.4,60.2,50.3,37.4,23.5,12
2,95,82.78333333,77.55,74.56666667,69.9,65.76666667,59.73333333,49.98333333,37.2,23.36666667,11.86666667
3,94,82.06666667,76.9,73.83333333,69.3,65.13333333,59.26666667,49.66666667,37,23.23333333,11.73333333
4,93,81.35,76.25,73.1,68.7,64.5,58.8,49.35,36.8,23.1,11.6
5,92,80.63333333,75.6,72.36666667,68.1,63.86666667,58.33333333,49.03333333,36.6,22.96666667,11.46666667
6,91,79.91666667,74.95,71.63333333,67.5,63.23333333,57.86666667,48.71666667,36.4,22.83333333,11.33333333
1,90,79.2,74.3,70.9,66.9,62.6,57.4,48.4,36.2,22.7,11.2
2,89,78.51666667,73.7,70.3,66.36666667,62.05,56.93333333,48.06666667,36,22.55,11.08333333
3,88,77.83333333,73.1,69.7,65.83333333,61.5,56.46666667,47.73333333,35.8,22.4,10.96666667
4,87,77.15,72.5,69.1,65.3,60.95,56,47.4,35.6,22.25,10.85
5,86,76.46666667,71.9,68.5,64.76666667,60.4,55.53333333,47.06666667,35.4,22.1,10.73333333
6,85,75.78333333,71.3,67.9,64.23333333,59.85,55.06666667,46.73333333,35.2,21.95,10.61666667
1,84,75.1,70.7,67.3,63.7,59.3,54.6,46.4,35,21.8,10.5
2,83,74.5,70.15,66.68333333,63.13333333,58.78333333,54.08333333,46.05,34.8,21.66666667,10.38333333
