"","dataset.batsman","dataset.batsman.id","u1"
"1","DA Warner",1,0.23719167
"2","S Dhawan",2,0.1437358
"3","MC Henriques",3,0.02881587955
"4","Yuvraj Singh",4,-0.0883868065
"5","DJ Hooda",5,-0.094361284
"6","BCJ Cutting",6,0.0419511617
"7","CH Gayle",7,0.21768228
"8","Mandeep Singh",8,0.00644949482
"9","TM Head",9,0.09969096828
"10","KM Jadhav",10,0.0834265411
"11","SR Watson",11,0.07559187755
"12","Sachin Baby",12,0.0143799119
"13","STR Binny",13,-0.0238871213
"14","S Aravind",14,-0.0074161271
"15","YS Chahal",15,-0.0722554719
"16","TS Mills",16,-0.0375309288
"17","A Choudhary",17,0.06136186
"18","PA Patel",18,0.1584749678
"19","JC Buttler",19,0.1122029678
"20","RG Sharma",20,0.0854059702
"21","N Rana",21,-0.0761674922
"22","AT Rayudu",22,0.0824899962
"23","KH Pandya",23,0.150529334108
"24","KA Pollard",24,0.005132833238
"25","HH Pandya",25,0.07491329247
"26","TG Southee",26,0.103049928
"27","AM Rahane",27,0.17578489
"28","MA Agarwal",28,0.01286986209
"29","SPD Smith",29,0.207536682
"30","BA Stokes",30,0.0476465028
"31","MS Dhoni",31,0.03586740681
"32","JJ Roy",32,0.0005513306
"33","BB McCullum",33,0.0506750862
"34","SK Raina",34,0.15483893
"35","AJ Finch",35,0.036852026975
"36","KD Karthik",36,0.0984677926
"37","G Gambhir",37,0.22757514
"38","CA Lynn",38,0.1302668804
"39","MK Tiwary",39,-0.03497009596
"40","DT Christian",40,-0.08153470839
"41","HM Amla",41,0.232361974
"42","M Vohra",42,0.01110416888
"43","WP Saha",43,0.126454037
"44","AR Patel",44,0.03127334586
"45","GJ Maxwell",45,0.1771378416
"46","DA Miller",46,0.134532411
"47","Vishnu Vinod",47,-0.0962745919
"48","Iqbal Abdulla",48,-0.0347392608
"49","P Negi",49,-0.0417234817
"50","AP Tare",50,-0.01074549635
"51","SW Billings",51,0.12118158685
"52","KK Nair",52,0.03760774611
"53","SV Samson",53,0.179524233
"54","RR Pant",54,0.29426684
"55","CH Morris",55,0.136288049142
"56","CR Brathwaite",56,0.0028735683
"57","PJ Cummins",57,0.0420022321
"58","A Mishra",58,-0.0511443276
"59","S Nadeem",59,-0.1811677182
"60","Z Khan",60,-0.02641672778
"61","DR Smith",61,-0.00270531501
"62","DS Kulkarni",62,-0.0135316627
"63","P Kumar",63,-0.05236495803
"64","Basil Thampi",64,0.0196256303
"65","RV Uthappa",65,0.0656661403
"66","MK Pandey",66,0.0228953178
"67","YK Pathan",67,0.0192289406
"68","SA Yadav",68,0.0354099218
"69","CR Woakes",69,-0.1156147185
"70","SP Narine",70,0.0941614901
"71","Harbhajan Singh",71,0.0710797936
"72","AB de Villiers",72,0.3865749
"73","CJ Anderson",73,-0.1328588091
"74","F du Plessis",74,0.163888258
"75","RA Tripathi",75,0.1956861654
"76","R Bhatia",76,0.03054019508
"77","DL Chahar",77,-0.0026644468
"78","A Zampa",78,0.0022239742
"79","AB Dinda",79,-0.10529641071
"80","Imran Tahir",80,-0.002244348418
"81","NV Ojha",81,-0.167653922
"82","V Shankar",82,0.036286683968
"83","Rashid Khan",83,0.0221507577
"84","B Kumar",84,-0.0632733394
"85","MP Stoinis",85,0.00677239866
"86","MM Sharma",86,-0.0189008972
"87","VR Aaron",87,-0.0499067968
"88","V Kohli",88,0.14245543
"89","MJ McClenaghan",89,-0.0381334373
"90","Ankit Sharma",90,0.0815335015
"91","SN Thakur",91,-0.0343208673
"92","RD Chahar",92,-0.02957180046
"93","LH Ferguson",93,0.01281243644
"94","C de Grandhomme",94,0.1332234397
"95","Bipul Sharma",95,0.0482524633
"96","SS Iyer",96,0.069719316
"97","EJG Morgan",97,-0.1346903531
"98","KC Cariappa",98,0.02564333338
"99","Sandeep Sharma",99,-0.03505877205
"100","Ishan Kishan",100,0.0758008629
"101","JD Unadkat",101,0.0169879628
"102","AF Milne",102,-0.0247832583
"103","S Badree",103,0.0038206293
"104","AD Mathews",104,-0.0306693778
"105","Mohammed Shami",105,-0.0714693286
"106","Mohammad Nabi",106,0.01114203526
"107","I Sharma",107,0.0051919789
"108","RA Jadeja",108,0.02452318074
"109","AJ Tye",109,-0.05225997
"110","KS Williamson",110,0.1732973948
"111","SE Marsh",111,0.09574276005
"112","Shakib Al Hasan",112,-0.02772796681
"113","JP Faulkner",113,-0.0986142983
"114","MG Johnson",114,-0.1468371522
"115","K Rabada",115,-0.0764072451
"116","AD Nath",116,-0.151557703
"117","NM Coulter-Nile",117,-0.1221363546
"118","Kuldeep Yadav",118,0.0175839584
"119","UT Yadav",119,-0.08199759895
"120","Washington Sundar",120,-0.01099435177
"121","KV Sharma",121,-0.050027538
"122","DM Bravo",122,-0.00063363958
"123","AR Bawne",123,-0.02667167938
"124","SP Jackson",124,-0.0196185209
"125","MJ Guptill",125,-0.0241330052
"126","Anureet Singh",126,0.05354142181
"127","IK Pathan",127,0.0342367392
"128","Ankit Soni",128,-0.0209611061
"129","JJ Bumrah",129,0.02713229818
"130","SL Malinga",130,-0.05731094571
"131","PJ Sangwan",131,-0.0777948671
"132","S Kaul",132,-0.04236419473
"133","LMP Simmons",133,0.0147026336
"134","MN Samuels",134,-0.0925806883
"135","Swapnil Singh",135,-0.01690267632
"136","R Tewatia",136,0.0095011642
"137","MM Patel",137,-0.0193915623
"138","SS Tiwary",138,0.06805610815
"139","TA Boult",139,0.0015295014
"140","CJ Jordan",140,-0.0300252669
"141","IR Jaggi",141,-0.12031174158
"142","PP Chawla",142,-0.1024922464
"143","AS Rajpoot",143,-0.07238923895
"144","SC Ganguly",144,-0.163835922
"145","RT Ponting",145,-0.15936611076
"146","DJ Hussey",146,-0.06575812365
"147","Mohammad Hafeez",147,-0.1707772954
"148","R Dravid",148,0.00422706705
"149","W Jaffer",149,-0.00242739044
"150","JH Kallis",150,-0.04135665606
"151","CL White",151,0.0354642076
"152","MV Boucher",152,-0.03381765064
"153","B Akhil",153,-0.0207590453
"154","AA Noffke",154,0.0019800577
"155","SB Joshi",155,-0.06282680342
"156","ML Hayden",156,0.14030941997
"157","MEK Hussey",157,0.1511324887
"158","JDP Oram",158,-0.152522418
"159","S Badrinath",159,-0.0154445829
"160","K Goel",160,-0.02687765116
"161","JR Hopes",161,0.0055067398
"162","KC Sangakkara",162,0.0993265881
"163","SM Katich",163,-0.0453536891
"164","T Kohli",164,-0.1610858702
"165","M Kaif",165,-0.1314096583
"166","DS Lehmann",166,-0.0170681833
"167","M Rawat",167,-0.0613116341
"168","D Salunkhe",168,0.07043303179
"169","SK Warne",169,-0.05415348243
"170","SK Trivedi",170,-0.08779886
"171","V Sehwag",171,0.28310185
"172","L Ronchi",172,-0.1114021014
"173","ST Jayasuriya",173,0.041277552746
"174","DJ Thornely",174,-0.0975458082
"175","PR Shah",175,-0.1014025937
"176","AM Nayar",176,0.002747285535
"177","SM Pollock",177,-0.00579870642
"178","S Chanderpaul",178,-0.07569290062
"179","LRPL Taylor",179,-0.0487682309
"180","AC Gilchrist",180,0.05851166669
"181","Y Venugopal Rao",181,-0.0642389442
"182","VVS Laxman",182,-0.0500237396
"183","A Symonds",183,0.0867294238
