"","dataset.bowler","dataset.bowler.id","u2"
"1","TS Mills",1,0.0939616676
"2","A Choudhary",2,-0.00910046121
"3","YS Chahal",3,0.040207835813
"4","S Aravind",4,-0.0754126379
"5","SR Watson",5,0.0708738955
"6","TM Head",6,-0.0253269935
"7","STR Binny",7,0.1063489551
"8","A Nehra",8,0.0864670139
"9","B Kumar",9,0.17194317
"10","BCJ Cutting",10,-0.1560398397
"11","Rashid Khan",11,0.31012941
"12","DJ Hooda",12,-0.0468968324
"13","MC Henriques",13,-0.0857604317
"14","Bipul Sharma",14,0.00687038575
"15","AB Dinda",15,0.037509516876
"16","DL Chahar",16,0.1362470303
"17","BA Stokes",17,-0.07658606346
"18","Imran Tahir",18,0.04433982947
"19","A Zampa",19,0.063107435
"20","R Bhatia",20,0.03607669461
"21","TG Southee",21,-0.0550496406
"22","HH Pandya",22,-0.0087767078
"23","MJ McClenaghan",23,0.05272237742
"24","JJ Bumrah",24,0.121268699
"25","KH Pandya",25,0.1472030931
"26","KA Pollard",26,-0.1658148162
"27","TA Boult",27,-0.0049024568
"28","PP Chawla",28,0.0238197617
"29","SP Narine",29,0.20573442
"30","CR Woakes",30,-0.08986657555
"31","Kuldeep Yadav",31,-0.0717657705
"32","YK Pathan",32,-0.0059337099
"33","P Kumar",33,0.020985759482
"34","DS Kulkarni",34,0.04125092683
"35","MS Gony",35,-0.0783386306
"36","S Kaushik",36,-0.1198928413
"37","DR Smith",37,0.0345841636
"38","SB Jakati",38,0.003585686
"39","Sandeep Sharma",39,0.166856002
"40","MM Sharma",40,0.0493119456
"41","AR Patel",41,0.059667946
"42","T Natarajan",42,0.0158237837
"43","MP Stoinis",43,-0.132128342
"44","Swapnil Singh",44,-0.0294098373
"45","DT Christian",45,-0.065744008
"46","RD Chahar",46,0.1899681329
"47","Z Khan",47,0.05051035569
"48","CH Morris",48,0.150099778
"49","PJ Cummins",49,-0.07098629316
"50","S Nadeem",50,0.036337102
"51","A Mishra",51,0.105340933
"52","CR Brathwaite",52,-0.1046934998
"53","B Stanlake",53,0.0930502597
"54","Iqbal Abdulla",54,0.11440797988
"55","P Negi",55,0.1468663626
"56","SK Raina",56,-0.0696268452
"57","Tejas Baroka",57,0.0015839361
"58","Basil Thampi",58,-0.204497432
"59","SL Malinga",59,0.18378329
"60","Harbhajan Singh",60,0.144140663
"61","AS Rajpoot",61,-0.08549140216
"62","VR Aaron",62,0.0721206163
"63","CJ Anderson",63,-0.0941944308
"64","Mustafizur Rahman",64,0.236178728
"65","UT Yadav",65,0.02822585498
